arbID,Zoning District
1, R5
2, R6
3, R4
4, R3-2
5, R4
6, R3-1
7, M1-1
8, R5
9, R4
10, R3-2
11, R3-2
12, R3X
13, M2-1
14, R3-2
15, R4
16, R4
17, C8-1
18, R2
19, R3-2
20, R3-1
21, C8-1
22, R3A
23, R3-1
24, R3-2
25, C4-1
26, R3-1
27, R3-1
28, R3A
29, R3A
30, C4-1
31, R3-2
32, R1-2
33, R3-1
34, C8-2
35, R3-2
36, C8-1
37, R3-1
38, R3A
39, R3-2
40, R3X
41, R3-1
42, M1-1
43, R3A
44, R3-2
45, R1-2
46, R6
47, M2-1
48, C4-2
49, R4
50, R3-1
51, C7
52, R6
53, C8-1
54, R3A
55, M1-1
56, R4A
57, R3-2
58, R3-2
59, R4
60, R4
61, R6
62, M1-1
63, R4-1
64, R6B
65, C8-1
66, C4-2
67, R4A
68, C4-3
69, R3A
70, R4-1
71, R4-1
72, R7-1
73, C8-3
74, M1-1
75, R7-2
76, M1-2
77, C8-3
78, R5A
79, R7-1
80, C4-2
81, C8-4
82, R3-1
83, M1-2
84, M1-4
85, R3-2
86, R8
87, R4-1
88, R6A
89, R5
90, R5
91, R5B
92, M1-1
93, R6
94, R6A
95, R5B
96, R5
97, R3-1
98, R5B
99, C3
100, M1-2
101, R3-2
102, R3X
103, R4-1
104, R5B
105, R3X
106, R5B
107, C8-2
108, R6
109, R4A
110, R4-1
111, R6A
112, R5B
113, R4-1
114, R3-1
115, R4A
116, R4A
117, R6B
118, C6-2
119, R7A
120, R6
121, R6
122, R6B
123, R6B
124, C8-2
125, C4-4A
126, C4-3
127, R7B
128, R4A
129, R6B
130, R5B
131, R6B
132, R6
133, R4-1
134, C6-1
135, C6-2
136, C8-1
137, C8-1
138, M1-2
139, M1-2
140, M1-2\/R6A
141, M1-2\/R6
142, M1-2\/R6A
143, R6B
144, R6A
145, M1-2\/R6B
146, M1-2\/R6A
147, R6
148, M1-2\/R6A
149, M1-5\/R9-1
150, C6-1
151, C6-1A
152, M1-2D
153, M1-1D
154, C8-4
155, R2
156, C8-1
157, C8-1
158, C8-1
159, M1-2
160, R5
161, R6A
162, R6B
163, M1-2
164, R6A
165, M1-2
166, C8-2
167, R4-1
168, R4A
169, R6A
170, R4-1
171, R4-1
172, R5B
173, R4-1
174, R5B
175, R4A
176, R4-1
177, R5B
178, C4-4A
179, R4
180, R7A
181, R3-1
182, M1-1
183, R7A
184, C4-3A
185, R7A
186, C7
187, R6
188, C8-2
189, C8-2
190, R6A
191, R7B
192, R4-1
193, M2-1
194, C4-2
195, C8-1
196, C8-1
197, R6B
198, R4
199, R4
200, R6B
201, R4-1
202, R4A
203, R5
204, R5
205, R5
206, R5
207, C4-3
208, R4A
209, R4-1
210, R4-1
211, R4A
212, R4A
213, R4-1
214, R5
215, M1-1
216, M1-1
217, M1-1
218, C8-1
219, C8-1
220, R7A
221, C8-1
222, C8-2
223, C4-2
224, R4-1
225, R2
226, R4-1
227, R4B
228, M1-2
229, M3-1
230, R8
231, M1-2
232, M1-2\/R6
233, R6A
234, M1-2\/R7A
235, M1-2\/R6A
236, M1-2\/R6B
237, R6A
238, R5B
239, R6
240, R4-1
241, M1-3
242, C8-1
243, M1-2
244, R6B
245, R5B
246, R4-1
247, R5B
248, R6B
249, R4-1
250, R5B
251, R4-1
252, R4B
253, R4A
254, R5B
255, R5B
256, R5B
257, C6-6.5
258, C1-9
259, R9
260, M1-5
261, M1-4
262, C6-2
263, C4-7
264, R3-2
265, R3-2
266, R3-2
267, R8B
268, R8B
269, R8
270, C1-9
271, R8A
272, C6-2
273, R8B
274, C8-4
275, C5-1
276, R9
277, R8B
278, C8-3
279, R7-2
280, R8
281, R8A
282, R8B
283, C6-3A
284, C4-5
285, C2-6
286, C2-6
287, R8
288, C8-4
289, C1-9
290, C1-6A
291, C8-4
292, R8
293, R8B
294, C1-9
295, R8B
296, C1-7
297, M1-4
298, M1-4
299, C8-4
300, M3-2
301, C4-7
302, M1-6
303, M1-6
304, M1-5
305, C6-2A
306, C6-3A
307, M1-5
308, C6-4
309, C6-4
310, C6-5.5
311, C2-8
312, R6A
313, M1-4
314, C4-4A
315, C1-6
316, C1-8X
317, R10
318, C5-2.5
319, C6-6
320, C6-4.5
321, C5-2.5
322, M1-6
323, C6-4M
324, C5-3
325, C6-4.5
326, C6-4
327, C5-2
328, C6-4
329, R8
330, R6
331, C2-8
332, R8B
333, C6-2
334, R8B
335, R6
336, R6
337, C5-2
338, R7-2
339, R7-2
340, C6-3
341, R8
342, C6-2A
343, R10
344, R8B
345, C1-9
346, R8B
347, C1-8
348, R8B
349, C5-2.5
350, C5-2.5
351, R8B
352, C1-8A
353, R8B
354, C1-9A
355, C6-6
356, R10
357, C6-4.5
358, R8B
359, C6-6
360, C6-3
361, C6-2
362, C2-8A
363, C6-1
364, R8A
365, R8A
366, C6-3A
367, C5-2.5
368, R8
369, R8A
370, R8B
371, C6-4
372, M1-5
373, C6-4A
374, R8B
375, C5-1
376, R8B
377, C5-2.5
378, C5-2.5
379, C6-3
380, C5-2
381, R8B
382, C1-9A
383, C6-2A
384, C5-2.5
385, C2-7
386, R8B
387, R8B
388, C5-2.5
389, R9X
390, C6-6.5
391, R8B
392, C2-8
393, C6-3
394, C6-4
395, M1-5
396, C1-9
397, C1-8X
398, R10
399, C5-1A
400, R8B
401, R8B
402, C4-7
403, C4-2F
404, R7B
405, C5-3
406, C6-4M
407, C6-7
408, C6-6
409, C6-3A
410, C6-2
411, R8
412, C5-2.5
413, R8B
414, R8
415, R8
416, R8
417, R7B
418, C2-6A
419, C5-3
420, M1-5
421, C1-9
422, R8
423, C6-2
424, C5-2
425, R7-2
426, R7B
427, C4-6
428, M3-1
429, R8B
430, R7B
431, C8-1
432, R5
433, R7A
434, R7X
435, R5B
436, R6
437, C8-1
438, R4
439, R4
440, R4A
441, R2A
442, R3A
443, M1-5\/R8A
444, M1-4\/R7A
445, M1-6\/R10
446, M1-6\/R10
447, R6B
448, R5
449, M1-5\/R7-3
450, R3-2
451, R7B
452, R5
453, R4
454, C4-3
455, R5
456, R5
457, M1-1
458, R6B
459, M1-1
460, C4-2
461, C4-2
462, R6B
463, R6B
464, R6B
465, R4
466, M2-1
467, M1-3
468, R6B
469, R6
470, R3-2
471, M1-2
472, R3A
473, R5
474, R4-1
475, R5
476, R3-1
477, C8-1
478, M1-5
479, C8-1
480, R4B
481, R4A
482, R4A
483, R4B
484, R2
485, R4
486, R4B
487, R4
488, R3A
489, R5
490, R6B
491, R3A
492, R5B
493, R2A
494, R3X
495, R7B
496, M1-1
497, C8-1
498, R6A
499, R6A
500, C4-3
501, C8-1
502, R6
503, R2A
504, R7X
505, M1-1
506, R4A
507, R2A
508, R6A
509, C8-1
510, M1-1
511, M1-2
512, M1-1
513, M1-2
514, M3-1
515, M1-2
516, C4-2F
517, R4B
518, R5
519, M1-1
520, R7A
521, C4-2
522, R4A
523, R4
524, R6B
525, R5
526, R5
527, C4-4
528, R5B
529, R2
530, R2
531, M1-1
532, R4
533, R7-1
534, R4
535, R5
536, R5
537, R4
538, R5
539, R7-1
540, R6
541, M1-2
542, M1-1
543, R4-1
544, C6-2
545, R6B
546, C4-3
547, R7-2
548, R6
549, M1-1
550, R3-1
551, C4-7
552, C6-2
553, R4-1
554, R4A
555, R4-1
556, R3A
557, C3
558, M2-1
559, R4A
560, C3
561, C3
562, R3-1
563, R6A
564, M3-1
565, M2-1
566, C8-1
567, C3
568, C3
569, R3-2
570, M3-1
571, M3-1
572, M1-2
573, M3-1
574, C3
575, R5
576, C8-1
577, R3-2
578, R7-1
579, R9
580, M3-1
581, R8
582, R8
583, M3-2
584, R8B
585, R6
586, M1-5\/R10
587, R8
588, R8B
589, M1-1
590, R6
591, C8-2
592, M1-1
593, R4
594, C3
595, M3-1
596, R10
597, M3-2
598, R9
599, R4
600, M1-1
